Date,Category,Quantity,Revenue,Orders
2010-12-01,"Bag Charms, Key Rings & Phone Charms",1,1.66,1
2010-12-01,"Bags, Purses & Backpacks",683,1338.68,26
2010-12-01,"Baskets, Hampers & Wicker",83,336.65999999999997,14
2010-12-01,Cake Cases & Baking Accessories,879,866.83,18
2010-12-01,Cake Stands,160,1720.27,19
2010-12-01,"Candles, Incense & Matches",1226,1383.02,35
2010-12-01,Children's Toys & Playsets,387,906.52,23
2010-12-01,Christmas Decorations,1571,1597.25,25
2010-12-01,Clocks & Timepieces,200,874.4,10
2010-12-01,"Clothing, Accessories & Beauty",83,234.38,13
2010-12-01,"Coat Racks, Hooks & Hangers",344,667.17,23
2010-12-01,Colouring & Art Supplies,985,778.9499999999999,19
2010-12-01,"Cushions, Quilts & Home Textiles",114,800.44,17
2010-12-01,Cutlery & Chopping Boards,106,379.12,10
2010-12-01,Decorative Hanging Ornaments & Figurines,830,1856.75,31
2010-12-01,Doormats & Doorstops,157,1141.49,23
2010-12-01,Easter Decorations,2,2.56,1
2010-12-01,Egg Cups & Holders,296,540.5,9
2010-12-01,Fairy Lights & Decorative Garlands,1188,4352.5199999999995,28
2010-12-01,"Furniture, Cabinets & Storage Furniture",848,1738.49,28
2010-12-01,"Garden, Bird Feeding & Outdoor Décor",189,494.05,12
2010-12-01,"Gift Wrap, Tape & Ribbons",482,593.59,20
2010-12-01,"Glass Jars, Bottles & Vases",78,205.27,6
2010-12-01,Hair Accessories,8,17.52,3
2010-12-01,Hand Warmers & Umbrellas,1665,3604.7100000000005,44
2010-12-01,Hot Water Bottles,1224,4620.280000000001,46
2010-12-01,"Jewellery - Bracelets, Rings & Brooches",130,265.12,9
2010-12-01,Jewellery - Earrings,10,34.3,2
2010-12-01,Jewellery - Necklaces,13,88.56,3
2010-12-01,"Jigsaw Puzzles, Card Games & Board Games",504,787.59,25
2010-12-01,Jumbo Bags & Shoppers,932,1721.22,27
2010-12-01,Kitchen Storage & Containers,1358,2010.23,33
2010-12-01,Kitchen Utensils & Tools,274,599.6,16
2010-12-01,Lamps & Lampshades,42,181.32,11
2010-12-01,Lanterns,99,255.81,12
2010-12-01,Lunch Boxes & Snack Bags,819,1282.79,23
2010-12-01,Memo Boards & Blackboards,42,155.66000000000003,6
2010-12-01,Metal Signs & Plaques,245,550.98,16
2010-12-01,Mirrors,75,147.49,7
2010-12-01,Miscellaneous,2308,4741.05,60
2010-12-01,"Mugs, Cups & Glasses",738,1369.83,36
2010-12-01,"Paper Napkins, Doilies & Bunting",231,381.12,16
2010-12-01,Party & Event Accessories,86,108.31,6
2010-12-01,Picture Frames & Photo Accessories,932,2861.4700000000003,19
2010-12-01,"Plates, Bowls, Trays & Serveware",383,973.17,23
2010-12-01,Sewing & Craft Kits,324,1289.33,25
2010-12-01,"Stationery, Notebooks & Greeting Cards",447,721.4,27
2010-12-01,"Stickers, Patches & Badges",72,87.88,10
2010-12-01,Tea & Coffee Sets,138,467.42,15
2010-12-01,Tealight Holders & Sets,1530,2722.58,38
2010-12-01,Travel & Office Accessories,126,226.74999999999997,10
2010-12-01,Trinket Boxes & Keepsakes,1147,1869.96,25
2010-12-01,Unclassified,10,49.019999999999996,2
2010-12-01,Wall Art & Prints,20,96.54,5
2010-12-01,Wooden Letters & Number Tiles,85,526.75,16
2010-12-02,"Bag Charms, Key Rings & Phone Charms",206,133.9,3
2010-12-02,"Bags, Purses & Backpacks",662,1183.6200000000001,27
2010-12-02,"Baskets, Hampers & Wicker",135,408.93,12
2010-12-02,Cake Cases & Baking Accessories,1314,1366.05,39
2010-12-02,Cake Stands,221,2422.75,21
2010-12-02,"Candles, Incense & Matches",649,856.75,30
2010-12-02,Children's Toys & Playsets,226,540.97,22
2010-12-02,Christmas Decorations,790,711.1899999999999,25
2010-12-02,Clocks & Timepieces,204,798.25,12
2010-12-02,"Clothing, Accessories & Beauty",307,426.05,11
2010-12-02,"Coat Racks, Hooks & Hangers",472,955.08,28
2010-12-02,Colouring & Art Supplies,1912,1044.71,28
2010-12-02,"Cushions, Quilts & Home Textiles",128,812.8,20
2010-12-02,Cutlery & Chopping Boards,54,183.7,9
2010-12-02,Decorative Hanging Ornaments & Figurines,524,748.86,21
2010-12-02,Doormats & Doorstops,266,1813.8,15
2010-12-02,Easter Decorations,24,18.0,2
2010-12-02,Egg Cups & Holders,13,62.35000000000001,2
2010-12-02,Fairy Lights & Decorative Garlands,515,1712.78,28
