cancellation_row,invoice,available_candidates,selected_original_row,status
141,C536379,0,,unmatched
154,C536383,0,,unmatched
235,C536391,0,,unmatched
236,C536391,0,,unmatched
237,C536391,0,,unmatched
238,C536391,0,,unmatched
239,C536391,0,,unmatched
240,C536391,0,,unmatched
241,C536391,0,,unmatched
939,C536506,0,,unmatched
1441,C536543,0,,unmatched
1442,C536543,0,,unmatched
1973,C536548,0,,unmatched
1974,C536548,0,,unmatched
1975,C536548,0,,unmatched
1976,C536548,0,,unmatched
1977,C536548,0,,unmatched
1978,C536548,0,,unmatched
1979,C536548,0,,unmatched
1980,C536548,0,,unmatched
1981,C536548,0,,unmatched
1982,C536548,0,,unmatched
1983,C536548,0,,unmatched
1984,C536548,0,,unmatched
1985,C536548,0,,unmatched
1986,C536548,0,,unmatched
3170,C536606,0,,unmatched
3338,C536622,0,,unmatched
3410,C536625,0,,unmatched
3693,C536642,0,,unmatched
3911,C536734,0,,unmatched
3912,C536734,0,,unmatched
3919,C536737,0,,unmatched
4287,C536757,0,,unmatched
4288,C536758,0,,unmatched
4306,C536760,0,,unmatched
4307,C536760,0,,unmatched
4836,C536807,0,,unmatched
4837,C536807,0,,unmatched
4853,C536812,0,,unmatched
4854,C536812,0,,unmatched
4855,C536812,0,,unmatched
4856,C536812,0,,unmatched
4857,C536812,0,,unmatched
4858,C536812,0,,unmatched
4876,C536814,0,,unmatched
4877,C536814,0,,unmatched
4878,C536814,0,,unmatched
4879,C536814,0,,unmatched
4880,C536814,0,,unmatched
4881,C536815,0,,unmatched
4882,C536815,0,,unmatched
4883,C536816,0,,unmatched
4884,C536817,0,,unmatched
4885,C536817,0,,unmatched
4886,C536818,0,,unmatched
4904,C536820,0,,unmatched
4905,C536820,0,,unmatched
4906,C536820,0,,unmatched
4907,C536820,0,,unmatched
4931,C536822,0,,unmatched
4932,C536822,0,,unmatched
4937,C536825,0,,unmatched
4938,C536825,0,,unmatched
4939,C536826,0,,unmatched
4940,C536826,0,,unmatched
4941,C536827,0,,unmatched
4942,C536828,0,,unmatched
4943,C536828,0,,unmatched
