Category,Model,seed,wape,r2
Tealight Holders & Sets,7-Day Rolling Sum Baseline,0,33.11204941483321,0.011452417289175454
Tealight Holders & Sets,Linear Regression,0,32.321963674567186,0.04779011767815533
Tealight Holders & Sets,Random Forest,0,15.990146687649323,0.8135208266907854
Tealight Holders & Sets,XGBoost,0,16.64869889360322,0.8074751901076654
Tealight Holders & Sets,7-Day Rolling Sum Baseline,1,15.288095028731128,0.6930188993841928
Tealight Holders & Sets,Linear Regression,1,25.142919337651126,0.3588518675820801
Tealight Holders & Sets,Random Forest,1,20.724766117531914,0.44241878973978
Tealight Holders & Sets,XGBoost,1,23.119796007558406,0.22925475346162627
Tealight Holders & Sets,7-Day Rolling Sum Baseline,2,24.48242430771095,0.5200467934211249
Tealight Holders & Sets,Linear Regression,2,25.34144862685453,0.48576605323823263
Tealight Holders & Sets,Random Forest,2,14.682094069171677,0.8253879246694427
Tealight Holders & Sets,XGBoost,2,20.741712398125955,0.6816670787577597
Tealight Holders & Sets,7-Day Rolling Sum Baseline,3,20.386713120884334,0.43491973949237706
Tealight Holders & Sets,Linear Regression,3,21.18211371858199,0.3024072064259665
Tealight Holders & Sets,Random Forest,3,14.546677368161834,0.6990728608622218
Tealight Holders & Sets,XGBoost,3,15.47715697736725,0.6736379853469077
Tealight Holders & Sets,7-Day Rolling Sum Baseline,4,15.005610408569753,0.7083151234299859
Tealight Holders & Sets,Linear Regression,4,27.733791456057084,0.23897849084123035
Tealight Holders & Sets,Random Forest,4,16.266915673035488,0.7076717765692451
Tealight Holders & Sets,XGBoost,4,12.920214646205745,0.7627763378534198
Tealight Holders & Sets,7-Day Rolling Sum Baseline,5,14.50373774960084,0.75007232642731
Tealight Holders & Sets,Linear Regression,5,15.364879026172714,0.7796351058857929
Tealight Holders & Sets,Random Forest,5,14.815161768733843,0.8064850908345379
Tealight Holders & Sets,XGBoost,5,15.64027295825115,0.7928935122797374
Tealight Holders & Sets,7-Day Rolling Sum Baseline,6,16.13427215777654,0.7140882140071192
Tealight Holders & Sets,Linear Regression,6,19.039675944707525,0.7300134956009472
Tealight Holders & Sets,Random Forest,6,15.821238370227785,0.796696391943188
Tealight Holders & Sets,XGBoost,6,16.254939371765403,0.795851547943352
Tealight Holders & Sets,7-Day Rolling Sum Baseline,7,24.758130318218907,0.20164405339677494
Tealight Holders & Sets,Linear Regression,7,24.705288176425245,0.31767884419394765
Tealight Holders & Sets,Random Forest,7,13.369465045459842,0.7081086749716684
Tealight Holders & Sets,XGBoost,7,14.269099717429778,0.6702452260576997
Tealight Holders & Sets,7-Day Rolling Sum Baseline,8,29.383776217187506,0.1184826285924564
Tealight Holders & Sets,Linear Regression,8,26.98330520989271,0.27010270972986905
Tealight Holders & Sets,Random Forest,8,18.07133363169247,0.7683379082974796
Tealight Holders & Sets,XGBoost,8,17.86473410446306,0.7366015271067056
Tealight Holders & Sets,7-Day Rolling Sum Baseline,9,24.603094777562863,0.36951429887134135
Tealight Holders & Sets,Linear Regression,9,35.873538497434666,-0.4732696708922186
Tealight Holders & Sets,Random Forest,9,22.62875628626693,0.37804211117089925
Tealight Holders & Sets,XGBoost,9,22.44438221560687,0.3766572794094831
Tealight Holders & Sets,7-Day Rolling Sum Baseline,10,29.889204413202364,-0.2647335623771494
Tealight Holders & Sets,Linear Regression,10,22.305481339367237,0.2434352698353438
Tealight Holders & Sets,Random Forest,10,23.882008131216736,0.38885132834460323
Tealight Holders & Sets,XGBoost,10,24.527645494370994,0.28188405275304174
Tealight Holders & Sets,7-Day Rolling Sum Baseline,11,19.392809551370924,0.6501846676275143
Tealight Holders & Sets,Linear Regression,11,25.06503516758663,0.556872932705484
Tealight Holders & Sets,Random Forest,11,15.15963145922227,0.8105032690827699
Tealight Holders & Sets,XGBoost,11,15.901638212413602,0.7940734645278977
Tealight Holders & Sets,7-Day Rolling Sum Baseline,12,19.579280477090187,0.5932616325164072
Tealight Holders & Sets,Linear Regression,12,19.4758250521904,0.5482697159971521
Tealight Holders & Sets,Random Forest,12,17.063521961232535,0.6644736398726179
Tealight Holders & Sets,XGBoost,12,16.831939237649966,0.6197089212114362
Tealight Holders & Sets,7-Day Rolling Sum Baseline,13,20.386713120884334,0.43491973949237706
Tealight Holders & Sets,Linear Regression,13,18.906787479391987,0.4502112224247611
Tealight Holders & Sets,Random Forest,13,15.331409496360884,0.6705067942809071
Tealight Holders & Sets,XGBoost,13,14.53727181773978,0.6789395172500242
Tealight Holders & Sets,7-Day Rolling Sum Baseline,14,21.250516508148944,0.3218790777585616
Tealight Holders & Sets,Linear Regression,14,23.05218348893961,0.3274408416597938
Tealight Holders & Sets,Random Forest,14,13.761960134712636,0.7290011220421491
Tealight Holders & Sets,XGBoost,14,13.773532634773202,0.6828499289348479
Tealight Holders & Sets,7-Day Rolling Sum Baseline,15,34.09706698562848,-0.6737080083534102
Tealight Holders & Sets,Linear Regression,15,32.57355932956055,-0.21926779903897198
Tealight Holders & Sets,Random Forest,15,16.716464337418817,0.6720002122084152
Tealight Holders & Sets,XGBoost,15,17.60136048390019,0.6385081778598356
Tealight Holders & Sets,7-Day Rolling Sum Baseline,16,28.31975224877233,0.12476559085261063
Tealight Holders & Sets,Linear Regression,16,30.355828010365876,0.2185923148050143
Tealight Holders & Sets,Random Forest,16,15.704893556990173,0.8059475482825939
Tealight Holders & Sets,XGBoost,16,14.949019171980698,0.823134052008017
Tealight Holders & Sets,7-Day Rolling Sum Baseline,17,21.069118642641584,0.46103558740382455
Tealight Holders & Sets,Linear Regression,17,30.444057922751167,-0.03784522794306522
Tealight Holders & Sets,Random Forest,17,19.915920504572593,0.4984572085511172
Tealight Holders & Sets,XGBoost,17,19.063208454074694,0.4290705859945181
Tealight Holders & Sets,7-Day Rolling Sum Baseline,18,30.871473210182888,-0.3930190234105533
Tealight Holders & Sets,Linear Regression,18,27.273659973136738,0.13654574269115693
Tealight Holders & Sets,Random Forest,18,24.05249402628435,0.42086866482917606
Tealight Holders & Sets,XGBoost,18,25.51545809615576,0.22403130010047534
Tealight Holders & Sets,7-Day Rolling Sum Baseline,19,28.31975224877233,0.12476559085261063
Tealight Holders & Sets,Linear Regression,19,29.752199491227614,0.1862367177616049
Tealight Holders & Sets,Random Forest,19,16.478815523414774,0.7958409191298859
Tealight Holders & Sets,XGBoost,19,15.963193537881276,0.796893087767858
Tealight Holders & Sets,7-Day Rolling Sum Baseline,20,25.0794234052163,-0.18317373411091853
Tealight Holders & Sets,Linear Regression,20,37.66735021329687,-0.44790452722066254
Tealight Holders & Sets,Random Forest,20,18.993977217922513,0.6161214356363196
Tealight Holders & Sets,XGBoost,20,18.87856495512817,0.6170874712122698
Tealight Holders & Sets,7-Day Rolling Sum Baseline,21,15.288095028731128,0.6930188993841928
Tealight Holders & Sets,Linear Regression,21,34.842072277220886,-0.27406745357355144
Tealight Holders & Sets,Random Forest,21,27.48582750618398,0.25148459328781025
Tealight Holders & Sets,XGBoost,21,30.52493782195279,0.048544974511301686
Tealight Holders & Sets,7-Day Rolling Sum Baseline,22,15.81338881753842,0.7022592569517092
Tealight Holders & Sets,Linear Regression,22,15.389269428190843,0.756560275111595
Tealight Holders & Sets,Random Forest,22,15.596399252056258,0.6891918921015388
Tealight Holders & Sets,XGBoost,22,17.031960171129704,0.6099236905237493
Tealight Holders & Sets,7-Day Rolling Sum Baseline,23,17.52021563342318,0.6973810656563326
Tealight Holders & Sets,Linear Regression,23,17.573300220479613,0.7545776140636462
Tealight Holders & Sets,Random Forest,23,16.260758900107618,0.7843997995000339
Tealight Holders & Sets,XGBoost,23,14.151833549306916,0.8236597651036041
Tealight Holders & Sets,7-Day Rolling Sum Baseline,24,17.096667075732526,0.5344887388997721
Tealight Holders & Sets,Linear Regression,24,22.757689134944563,0.23872487756906147
Tealight Holders & Sets,Random Forest,24,16.609911786149993,0.6335250635403462
Tealight Holders & Sets,XGBoost,24,18.46281026287407,0.5346685599508968
Tealight Holders & Sets,7-Day Rolling Sum Baseline,25,29.383776217187506,0.1184826285924564
Tealight Holders & Sets,Linear Regression,25,28.710551581320452,0.1669264335270677
Tealight Holders & Sets,Random Forest,25,16.422819763040035,0.7909318779231523
Tealight Holders & Sets,XGBoost,25,16.81481078923703,0.7865914276121144
Tealight Holders & Sets,7-Day Rolling Sum Baseline,26,19.579280477090187,0.5932616325164072
Tealight Holders & Sets,Linear Regression,26,18.488559252533918,0.6039068704579729
Tealight Holders & Sets,Random Forest,26,14.558977319555567,0.7388313605625738
Tealight Holders & Sets,XGBoost,26,13.9144796497353,0.7483789691878753
Tealight Holders & Sets,7-Day Rolling Sum Baseline,27,24.48242430771095,0.5200467934211249
Tealight Holders & Sets,Linear Regression,27,24.87821529062645,0.5144828992166681
Tealight Holders & Sets,Random Forest,27,15.165095705215814,0.7856787705354228
Tealight Holders & Sets,XGBoost,27,16.16955593609876,0.7830084222517208
Tealight Holders & Sets,7-Day Rolling Sum Baseline,28,20.029715941944126,0.4484936268954992
Tealight Holders & Sets,Linear Regression,28,25.681401940734013,0.12313135918206286
Tealight Holders & Sets,Random Forest,28,15.57368968066341,0.6664307532143219
Tealight Holders & Sets,XGBoost,28,17.312868954743116,0.5374202734698381
Tealight Holders & Sets,7-Day Rolling Sum Baseline,29,34.52158252483588,-0.4611864223722848
Tealight Holders & Sets,Linear Regression,29,27.435255209098525,0.13482630397120232
Tealight Holders & Sets,Random Forest,29,23.70863494645519,0.4133089018607936
Tealight Holders & Sets,XGBoost,29,26.02509721561586,0.22220659487098937
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,0,50.51283802906244,-0.5566158031778563
Cake Cases & Baking Accessories,Linear Regression,0,37.15203094345498,0.14200625571305858
Cake Cases & Baking Accessories,Random Forest,0,37.771106383394,0.15565000616561964
Cake Cases & Baking Accessories,XGBoost,0,38.09927641575084,0.0933095583119794
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,1,43.366333101443075,-2.037337933341967
Cake Cases & Baking Accessories,Linear Regression,1,26.707767680635104,-0.43111997095839216
Cake Cases & Baking Accessories,Random Forest,1,23.882759850876717,-0.09565972148740043
Cake Cases & Baking Accessories,XGBoost,1,27.74760086250914,-0.38791241722518977
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,2,52.87438979751157,-1.0958892148561423
Cake Cases & Baking Accessories,Linear Regression,2,36.31229851021043,0.005710464547030281
Cake Cases & Baking Accessories,Random Forest,2,32.531178229335715,0.18416665031678503
Cake Cases & Baking Accessories,XGBoost,2,33.21776114778602,0.17513176325613466
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,3,63.81757206169616,-1.8868384779304277
Cake Cases & Baking Accessories,Linear Regression,3,37.174666067278075,-0.19050793694748602
Cake Cases & Baking Accessories,Random Forest,3,33.25201464688544,0.0960647576835264
Cake Cases & Baking Accessories,XGBoost,3,33.63009726050797,-0.0017924826655080217
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,4,38.88785088002392,-0.7125619786899455
Cake Cases & Baking Accessories,Linear Regression,4,31.480870884436353,-0.11967029153031583
Cake Cases & Baking Accessories,Random Forest,4,25.834449853414277,0.269955174056273
Cake Cases & Baking Accessories,XGBoost,4,27.65369116254646,0.19368162825476032
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,5,41.93069478649971,-0.36072353879766705
Cake Cases & Baking Accessories,Linear Regression,5,35.627516306823686,0.28058536838054937
Cake Cases & Baking Accessories,Random Forest,5,32.939689201845354,0.3038413477816877
Cake Cases & Baking Accessories,XGBoost,5,33.46562389231004,0.2382414585165541
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,6,43.12819968955178,-0.7742364742184793
Cake Cases & Baking Accessories,Linear Regression,6,35.02132481219545,0.2147964676959363
Cake Cases & Baking Accessories,Random Forest,6,34.98800307234472,0.13757399734615494
Cake Cases & Baking Accessories,XGBoost,6,36.72612828600886,0.032954600566549086
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,7,60.106353610225405,-2.1231003698022133
Cake Cases & Baking Accessories,Linear Regression,7,33.73186761510076,-0.019639228542806864
Cake Cases & Baking Accessories,Random Forest,7,26.779654437036733,0.33288478566644897
Cake Cases & Baking Accessories,XGBoost,7,24.316778457710893,0.4209740675376725
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,8,56.326190046648286,-0.4741870778798116
Cake Cases & Baking Accessories,Linear Regression,8,37.97977843216266,0.2845001878633221
Cake Cases & Baking Accessories,Random Forest,8,39.60420478853638,0.2916477239093902
Cake Cases & Baking Accessories,XGBoost,8,37.66948278870571,0.3301764340143145
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,9,49.15916728614347,-1.326314216478147
Cake Cases & Baking Accessories,Linear Regression,9,29.231160395066773,-0.04122086252193924
Cake Cases & Baking Accessories,Random Forest,9,26.88966404373906,-0.08805155012729937
Cake Cases & Baking Accessories,XGBoost,9,26.22771330373369,-0.017382413991054113
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,10,50.15096987234755,-0.37439666761331303
Cake Cases & Baking Accessories,Linear Regression,10,33.158373718344514,0.25501510031216845
Cake Cases & Baking Accessories,Random Forest,10,34.850538081059476,0.30698528112495316
Cake Cases & Baking Accessories,XGBoost,10,35.62106577721341,0.25031900975468047
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,11,53.41119927052134,-1.4038312919898503
Cake Cases & Baking Accessories,Linear Regression,11,38.01562874458203,-0.10117445790351387
Cake Cases & Baking Accessories,Random Forest,11,35.56400826995777,0.05805346609946804
Cake Cases & Baking Accessories,XGBoost,11,33.06153670189525,0.11026602367207461
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,12,49.94762196599347,-1.486789698644687
Cake Cases & Baking Accessories,Linear Regression,12,35.51350036206988,-0.5496165066203575
Cake Cases & Baking Accessories,Random Forest,12,31.597599518264612,-0.21668198894031776
Cake Cases & Baking Accessories,XGBoost,12,41.033957294504184,-0.7802706740347543
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,13,63.81757206169616,-1.8868384779304277
Cake Cases & Baking Accessories,Linear Regression,13,36.24594545689115,-0.19245803137637174
