Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
"Bag Charms, Key Rings & Phone Charms",7-Day Rolling Sum Baseline,97.662,-1.12,57.32,-1.561,56.446,-1.247,101.216,123.016,-9.569,7,7,purged_chronological,False
"Bag Charms, Key Rings & Phone Charms",Linear Regression,76.787,0.328,68.208,-2.191,105.586,-8.849,189.329,257.539,87.407,7,7,purged_chronological,False
"Bag Charms, Key Rings & Phone Charms",Random Forest,13.523,0.951,44.893,-0.737,137.174,-28.525,245.972,445.893,160.099,7,7,purged_chronological,False
"Bag Charms, Key Rings & Phone Charms",XGBoost,1.23,1.0,38.896,-0.284,125.734,-34.187,225.458,486.773,100.329,7,7,purged_chronological,True
"Bags, Purses & Backpacks",7-Day Rolling Sum Baseline,34.392,-1.258,18.185,-1.18,15.201,-1.181,921.059,1060.434,-192.588,7,7,purged_chronological,False
"Bags, Purses & Backpacks",Linear Regression,17.674,0.451,16.981,-0.629,15.782,-1.43,956.29,1119.275,-933.347,7,7,purged_chronological,True
"Bags, Purses & Backpacks",Random Forest,4.366,0.957,20.132,-1.136,30.072,-6.577,1822.145,1976.492,-1822.145,7,7,purged_chronological,False
"Bags, Purses & Backpacks",XGBoost,0.166,1.0,20.065,-1.223,29.148,-6.404,1766.16,1953.849,-1752.524,7,7,purged_chronological,False
"Baskets, Hampers & Wicker",7-Day Rolling Sum Baseline,52.585,-0.581,30.544,-1.298,23.713,-0.491,239.157,308.155,-56.529,7,7,purged_chronological,True
"Baskets, Hampers & Wicker",Linear Regression,39.998,0.197,73.947,-8.904,45.471,-2.941,458.603,501.103,-458.603,7,7,purged_chronological,False
"Baskets, Hampers & Wicker",Random Forest,6.849,0.97,63.275,-6.27,65.052,-6.798,656.092,704.84,-656.092,7,7,purged_chronological,False
"Baskets, Hampers & Wicker",XGBoost,0.614,1.0,69.431,-7.55,67.452,-7.382,680.299,730.752,-680.299,7,7,purged_chronological,False
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,46.945,-1.394,66.456,-2.557,13.045,-0.93,848.922,1022.125,-55.0,7,7,purged_chronological,False
Cake Cases & Baking Accessories,Linear Regression,24.783,0.301,34.049,-0.286,15.911,-1.937,1035.406,1260.706,-731.789,7,7,purged_chronological,False
Cake Cases & Baking Accessories,Random Forest,6.242,0.947,33.216,-0.415,14.128,-1.446,919.379,1150.435,-663.862,7,7,purged_chronological,True
Cake Cases & Baking Accessories,XGBoost,0.301,1.0,37.558,-0.599,16.772,-2.257,1091.453,1327.656,-709.456,7,7,purged_chronological,False
Cake Stands,7-Day Rolling Sum Baseline,45.505,-1.513,50.155,-2.378,32.386,-0.076,141.882,220.335,-61.725,7,7,purged_chronological,False
Cake Stands,Linear Regression,21.039,0.43,35.535,-0.699,38.313,-0.473,167.848,257.802,-55.704,7,7,purged_chronological,True
Cake Stands,Random Forest,4.874,0.966,54.71,-2.983,39.201,-0.471,171.739,257.592,2.259,7,7,purged_chronological,False
Cake Stands,XGBoost,0.283,1.0,59.516,-4.226,51.929,-0.965,227.501,297.745,59.515,7,7,purged_chronological,False
"Candles, Incense & Matches",7-Day Rolling Sum Baseline,40.167,-1.879,30.577,-1.312,30.434,-2.698,1321.686,1628.0,-150.588,7,7,purged_chronological,True
"Candles, Incense & Matches",Linear Regression,19.638,0.413,47.271,-4.022,94.394,-22.912,4099.394,4139.641,-4099.394,7,7,purged_chronological,False
"Candles, Incense & Matches",Random Forest,5.196,0.949,35.865,-2.396,46.733,-6.053,2029.558,2248.198,-2029.558,7,7,purged_chronological,False
"Candles, Incense & Matches",XGBoost,0.188,1.0,38.573,-2.794,50.219,-6.983,2180.926,2391.862,-2180.926,7,7,purged_chronological,False
Children's Toys & Playsets,7-Day Rolling Sum Baseline,45.315,-1.669,36.573,-1.081,39.156,-3.323,778.961,905.294,222.02,7,7,purged_chronological,False
