Split,Category,Train WAPE (%),Val WAPE (%),Test WAPE (%),Test R2
Random Shuffle,"Bag Charms, Key Rings & Phone Charms",18.83,34.77,46.94,0.329
Random Shuffle,"Bags, Purses & Backpacks",4.15,12.51,12.14,0.682
Random Shuffle,"Baskets, Hampers & Wicker",6.98,21.17,18.47,0.869
Random Shuffle,Cake Cases & Baking Accessories,6.92,13.76,13.83,0.728
Random Shuffle,Cake Stands,6.85,15.29,15.42,0.714
Random Shuffle,"Candles, Incense & Matches",5.42,15.03,12.04,0.862
Random Shuffle,Children's Toys & Playsets,5.28,15.22,15.29,0.86
Random Shuffle,Christmas Decorations,4.45,11.98,8.98,0.985
Random Shuffle,Clocks & Timepieces,8.47,21.11,18.05,0.567
Random Shuffle,"Clothing, Accessories & Beauty",9.28,22.06,25.16,0.56
Random Shuffle,"Coat Racks, Hooks & Hangers",6.16,16.09,15.54,0.688
Random Shuffle,Colouring & Art Supplies,5.12,13.61,10.3,0.925
Random Shuffle,"Cushions, Quilts & Home Textiles",6.51,22.57,19.29,0.809
Random Shuffle,Cutlery & Chopping Boards,7.28,23.04,19.83,0.608
Random Shuffle,Decorative Hanging Ornaments & Figurines,4.81,11.88,12.24,0.893
Random Shuffle,Doormats & Doorstops,15.12,33.06,43.84,0.364
Random Shuffle,Easter Decorations,6.19,13.52,17.14,0.943
Random Shuffle,Egg Cups & Holders,7.14,19.84,21.92,0.785
Random Shuffle,Fairy Lights & Decorative Garlands,5.83,15.31,11.8,0.955
Random Shuffle,"Furniture, Cabinets & Storage Furniture",4.62,11.42,11.71,0.695
Random Shuffle,"Garden, Bird Feeding & Outdoor Décor",8.57,23.57,21.71,0.772
Random Shuffle,"Gift Wrap, Tape & Ribbons",4.71,11.4,14.48,0.82
Random Shuffle,"Glass Jars, Bottles & Vases",6.92,16.01,16.01,0.884
Random Shuffle,Hair Accessories,14.88,42.61,39.43,0.262
Random Shuffle,Hand Warmers & Umbrellas,6.84,15.55,18.37,0.875
Random Shuffle,Hot Water Bottles,6.74,13.71,15.53,0.95
Random Shuffle,"Jewellery - Bracelets, Rings & Brooches",5.9,19.11,11.8,0.928
Random Shuffle,Jewellery - Earrings,18.28,45.05,40.68,0.784
Random Shuffle,Jewellery - Necklaces,16.07,31.67,38.49,0.6
Random Shuffle,"Jigsaw Puzzles, Card Games & Board Games",7.06,16.02,25.87,0.702
Random Shuffle,Jumbo Bags & Shoppers,6.74,17.44,17.74,0.705
Random Shuffle,Kitchen Storage & Containers,7.95,22.1,20.49,0.54
Random Shuffle,Kitchen Utensils & Tools,5.26,12.24,14.29,0.847
Random Shuffle,Lamps & Lampshades,11.44,34.19,28.17,0.835
Random Shuffle,Lanterns,7.94,22.37,17.5,0.78
Random Shuffle,Lunch Boxes & Snack Bags,6.66,15.6,15.86,0.757
Random Shuffle,Memo Boards & Blackboards,9.7,25.46,20.9,0.675
Random Shuffle,Metal Signs & Plaques,5.87,14.97,16.62,0.676
Random Shuffle,Mirrors,11.2,23.29,22.96,0.711
Random Shuffle,"Mugs, Cups & Glasses",6.4,22.3,14.72,0.702
Random Shuffle,"Paper Napkins, Doilies & Bunting",4.82,11.38,13.89,0.634
Random Shuffle,Party & Event Accessories,11.43,21.07,29.48,0.399
Random Shuffle,Picture Frames & Photo Accessories,8.35,27.14,17.71,0.75
Random Shuffle,"Plates, Bowls, Trays & Serveware",5.98,15.21,11.97,0.853
Random Shuffle,Sewing & Craft Kits,6.57,18.21,18.08,0.832
Random Shuffle,"Stationery, Notebooks & Greeting Cards",4.92,13.1,16.31,0.73
Random Shuffle,"Stickers, Patches & Badges",14.79,33.79,28.99,0.474
Random Shuffle,Tea & Coffee Sets,10.81,20.99,29.63,0.579
Random Shuffle,Tealight Holders & Sets,4.07,8.44,9.84,0.889
Random Shuffle,Travel & Office Accessories,8.1,18.84,17.39,0.907
Random Shuffle,Trinket Boxes & Keepsakes,6.49,21.25,21.94,0.602
Random Shuffle,Unclassified,8.57,24.45,21.48,0.865
Random Shuffle,Wall Art & Prints,18.85,115.57,57.21,0.245
Random Shuffle,Wooden Letters & Number Tiles,6.52,13.0,16.02,0.816
Chronological,"Bag Charms, Key Rings & Phone Charms",13.85,47.45,98.58,-19.38
Chronological,"Bags, Purses & Backpacks",4.2,20.45,17.63,-2.124
Chronological,"Baskets, Hampers & Wicker",6.3,45.54,24.19,-0.357
Chronological,Cake Cases & Baking Accessories,6.19,31.51,11.97,-0.567
Chronological,Cake Stands,4.54,35.66,33.79,-0.32
Chronological,"Candles, Incense & Matches",5.22,38.73,23.71,-1.185
Chronological,Children's Toys & Playsets,4.95,46.36,37.28,-2.382
Chronological,Christmas Decorations,7.39,70.93,16.42,-0.784
Chronological,Clocks & Timepieces,8.21,53.99,30.99,-0.385
Chronological,"Clothing, Accessories & Beauty",8.36,47.74,34.87,-1.261
Chronological,"Coat Racks, Hooks & Hangers",5.26,18.88,25.58,-0.814
Chronological,Colouring & Art Supplies,4.51,34.23,41.97,-3.815
Chronological,"Cushions, Quilts & Home Textiles",7.47,49.42,60.13,-6.871
Chronological,Cutlery & Chopping Boards,6.48,39.83,32.34,-2.335
Chronological,Decorative Hanging Ornaments & Figurines,4.25,42.09,14.45,-0.235
Chronological,Doormats & Doorstops,12.33,85.57,73.08,-3.067
Chronological,Easter Decorations,3.98,120.75,330.19,-6.372
Chronological,Egg Cups & Holders,6.68,68.08,35.79,-0.217
Chronological,Fairy Lights & Decorative Garlands,4.82,45.53,43.28,-2.538
Chronological,"Furniture, Cabinets & Storage Furniture",4.12,26.88,11.34,0.159
Chronological,"Garden, Bird Feeding & Outdoor Décor",6.99,57.39,37.94,-0.555
Chronological,"Gift Wrap, Tape & Ribbons",4.19,42.03,15.85,-0.77
Chronological,"Glass Jars, Bottles & Vases",7.35,39.96,17.29,-0.344
Chronological,Hair Accessories,10.25,49.86,61.29,-0.368
Chronological,Hand Warmers & Umbrellas,6.29,50.99,31.52,-1.266
Chronological,Hot Water Bottles,5.26,70.21,44.71,-1.977
Chronological,"Jewellery - Bracelets, Rings & Brooches",4.93,41.64,27.21,-0.871
Chronological,Jewellery - Earrings,13.87,72.22,64.68,-0.454
Chronological,Jewellery - Necklaces,12.7,82.3,42.9,-1.688
