Category,val_7-Day Rolling Sum Baseline,test_7-Day Rolling Sum Baseline,val_Linear Regression,test_Linear Regression,val_Random Forest,test_Random Forest,val_XGBoost,test_XGBoost
"Bag Charms, Key Rings & Phone Charms",49.754047960647675,49.638589762501844,104.4141497189663,95.89095821008367,60.147929903668796,37.289349461572506,130.79617608397388,44.15748856169299
"Bags, Purses & Backpacks",23.424375497349576,22.07213693922026,30.7013533520515,16.679453980017303,28.215579199104035,18.880322187340994,31.300401667344712,22.92977279206478
"Baskets, Hampers & Wicker",33.535021374547846,27.854892276249682,49.40876491227436,40.0061773478218,44.82219664584019,37.4681299497573,54.60287659233316,28.584340357104367
Cake Cases & Baking Accessories,38.29468824848808,33.86561663631155,42.439633537015574,34.65416930789365,29.706210390146857,20.725051090646353,30.915768686214324,24.603417145407665
Cake Stands,40.290597535662236,61.46122497194495,39.45044423643644,48.10193929444463,36.219604292717406,20.62010513259701,31.846967320694276,23.533369283668826
"Candles, Incense & Matches",21.78205309287164,36.7212465990601,25.531114099004913,36.327065617238844,19.996554390086157,43.341508780608464,21.27108957279037,41.51899792078902
Children's Toys & Playsets,44.133370292638496,39.28578360019408,34.60764770436858,22.738682705138487,29.12430206312121,16.328733624454152,26.27770367204206,15.644659657781418
Christmas Decorations,18.89069710220626,23.439831104855735,48.22305130328251,52.24294024528642,18.295581004839008,21.5618691062632,19.254204262958847,22.72040860996877
Clocks & Timepieces,42.374081846799584,60.40190969513527,54.71987337711822,21.61384903831845,49.029223504721934,22.041189502917593,31.10857464208933,36.05621782603359
"Clothing, Accessories & Beauty",72.35696428058279,86.72684304980544,76.1926339868055,59.299853833374236,58.532242305813384,42.63277599104461,55.59360038590482,36.8411791769646
"Coat Racks, Hooks & Hangers",43.64620741199847,35.03220797750687,32.168158499039876,24.356559595661924,30.424275844468347,24.188998929897814,30.934065488772227,28.32199964649581
Colouring & Art Supplies,40.743697783957856,33.37493268155267,33.56526026951066,27.267900979672394,28.066582497048962,27.843997265835373,33.25262350842858,28.910207145921955
"Cushions, Quilts & Home Textiles",58.080651960095544,69.74807071985627,43.62474733651953,49.92695094341541,33.56078403821835,33.53056224735617,36.181487072313104,34.197753318103466
Cutlery & Chopping Boards,71.5048490792198,29.724469652737227,48.12637615524255,25.482825913653063,35.23653699466057,22.08784441293408,38.956677861965545,17.89784760379306
Decorative Hanging Ornaments & Figurines,31.763529558805146,36.21878585202724,23.303278269418982,26.27601792946499,32.62419072615923,15.462494202650914,45.445921636097566,18.9655282817668
Doormats & Doorstops,95.34482497692086,150.3653444676409,94.40256915978644,78.72669511502038,75.64775186524811,59.81736504622725,92.15125660613636,62.510960267284354
Easter Decorations,52.46908278941944,23.630792799693605,25.25760929274879,73.62659158528808,45.40471487461354,27.0458636537725,43.517907875503965,33.73193123567976
Egg Cups & Holders,34.46353500274173,84.84192811636014,60.76441613625466,61.68805967517487,36.921906415646134,47.42721480947229,36.63203808228945,45.06918110086849
Fairy Lights & Decorative Garlands,44.2779047808369,24.821973550356052,33.31345974696907,23.430334631364147,37.161932213497664,20.279015999260146,37.89680471098953,15.174633211807162
"Furniture, Cabinets & Storage Furniture",29.520502866299754,29.624633646853958,18.885308763708096,15.811106517164347,13.81420559143067,15.462561467619897,14.895518016948905,13.86008321049709
"Garden, Bird Feeding & Outdoor Décor",63.47997933930697,53.86635788522368,50.892343995574095,53.30153243690939,58.755215702126705,54.02846814279258,58.47914573085009,42.81842024467458
"Gift Wrap, Tape & Ribbons",46.80523699525765,35.092076836025335,29.08485319664189,61.76208892673968,28.279027531772137,22.617970537372077,43.02402175719362,15.231603161949229
"Glass Jars, Bottles & Vases",51.32471992803991,49.6748699479792,36.400898552947794,21.500749449374993,30.778436503393575,19.084158663465388,34.36773813153943,20.068146887661314
Hair Accessories,57.357113903526546,87.99798285426122,90.25017280961313,55.55448096742229,59.995135792460474,51.25642965204237,58.44396166729937,52.541025058825205
Hand Warmers & Umbrellas,43.126597314711496,38.11930582135204,46.19419780497353,28.853158875034236,33.88180171100152,41.23440796898769,29.70199250832216,39.76339957336469
Hot Water Bottles,36.484645623321526,23.628859675940078,153.19533666313285,49.89383751751736,32.93752189312264,63.40998165698563,29.148840218479684,56.222647955861525
"Jewellery - Bracelets, Rings & Brooches",50.074015777540424,56.45110692838576,37.26445123439158,36.65951954356834,30.922808102385368,48.20733620148785,32.64552143610225,56.75946904348517
