Category,Model,seed,wape,r2
Tealight Holders & Sets,7-Day Rolling Sum Baseline,0,29.76472842352848,0.2574357041962587
Tealight Holders & Sets,Linear Regression,0,32.36737958844608,0.2890424506667598
Tealight Holders & Sets,Random Forest,0,28.10736371624702,0.32907911763029396
Tealight Holders & Sets,XGBoost,0,28.566910145204094,0.2808649195439371
Tealight Holders & Sets,TabFM,0,22.496702729695976,0.639736343745885
Tealight Holders & Sets,7-Day Rolling Sum Baseline,1,14.570849988288009,0.6828829481922398
Tealight Holders & Sets,Linear Regression,1,29.385058949943982,-0.12628452725046468
Tealight Holders & Sets,Random Forest,1,18.612588123285708,0.5045744547788276
Tealight Holders & Sets,XGBoost,1,17.59905348710949,0.5785582293768494
Tealight Holders & Sets,TabFM,1,19.144112143433635,0.4688365879364148
Tealight Holders & Sets,7-Day Rolling Sum Baseline,2,28.232103121831752,0.28913245855193326
Tealight Holders & Sets,Linear Regression,2,25.57192147040741,0.48701155615494707
Tealight Holders & Sets,Random Forest,2,28.87570771175394,0.401143485884184
Tealight Holders & Sets,XGBoost,2,27.741435884143883,0.4942947619264805
Tealight Holders & Sets,TabFM,2,19.23558915833425,0.7494264356312418
Jewellery - Earrings,7-Day Rolling Sum Baseline,0,134.14905450500555,-0.4673124928414518
Jewellery - Earrings,Linear Regression,0,99.21107930601961,0.1188614237659602
Jewellery - Earrings,Random Forest,0,83.52169076751946,0.36648260981239944
Jewellery - Earrings,XGBoost,0,66.09782209032149,0.46461947782681
Jewellery - Earrings,TabFM,0,81.43268860310239,0.5323577290004284
Jewellery - Earrings,7-Day Rolling Sum Baseline,1,105.28967254408062,-0.14007311090692554
Jewellery - Earrings,Linear Regression,1,89.37295353406681,-0.09195592773905892
Jewellery - Earrings,Random Forest,1,70.76007556675063,0.24538200758320816
Jewellery - Earrings,XGBoost,1,73.25873684848085,0.18866389066376088
Jewellery - Earrings,TabFM,1,75.63621727585492,0.37328691996142327
Jewellery - Earrings,7-Day Rolling Sum Baseline,2,116.79021497405486,-0.3726381162665504
Jewellery - Earrings,Linear Regression,2,96.81862843057833,-0.006103754517647886
Jewellery - Earrings,Random Forest,2,73.78928836174946,0.18982930067383919
Jewellery - Earrings,XGBoost,2,74.56421051491976,0.12040516534402035
Jewellery - Earrings,TabFM,2,56.916087923269075,0.6856188969268799
