Category,Model,wape_mean,wape_std,wape_min,wape_max,r2_mean,win_rate
Jewellery - Earrings,XGBoost,71.307,4.558,66.098,74.564,0.258,0.333
Jewellery - Earrings,TabFM,71.328,12.813,56.916,81.433,0.53,0.333
Jewellery - Earrings,Random Forest,76.024,6.668,70.76,83.522,0.267,0.333
Jewellery - Earrings,Linear Regression,95.134,5.131,89.373,99.211,0.007,0.0
Jewellery - Earrings,7-Day Rolling Sum Baseline,118.743,14.528,105.29,134.149,-0.327,0.0
Tealight Holders & Sets,TabFM,20.292,1.91,19.144,22.497,0.619,0.667
Tealight Holders & Sets,7-Day Rolling Sum Baseline,24.189,8.365,14.571,29.765,0.41,0.333
Tealight Holders & Sets,XGBoost,24.636,6.108,17.599,28.567,0.451,0.0
Tealight Holders & Sets,Random Forest,25.199,5.717,18.613,28.876,0.412,0.0
Tealight Holders & Sets,Linear Regression,29.108,3.406,25.572,32.367,0.217,0.0
